SystematicName,Gene,Vol_fL,log2_ratio
Q0010,NA,40,0.144710601
Q0010,NA,45,-0.420886575
Q0010,NA,50,NA
Q0010,NA,55,-1.257387843
Q0010,NA,60,-1.479780264
Q0010,NA,65,-0.110546454
Q0010,NA,70,1.154425756
Q0010,NA,75,1.149576356
Q0017,NA,40,-1.323898457
Q0017,NA,45,-0.711179155
Q0017,NA,50,0.316531079
Q0017,NA,55,0.617641813
Q0017,NA,60,-0.498061409
Q0017,NA,65,0.207760484
Q0017,NA,70,0.074958766
Q0017,NA,75,0.371553299
Q0032,NA,40,NA
Q0032,NA,45,NA
Q0032,NA,50,NA
Q0032,NA,55,NA
Q0032,NA,60,NA
Q0032,NA,65,2.565597176
Q0032,NA,70,1.056583528
Q0032,NA,75,NA
Q0045,COX1,40,0.25175335
Q0045,COX1,45,-0.339004468
Q0045,COX1,50,-0.595490528
Q0045,COX1,55,-0.281424022
Q0045,COX1,60,-0.63274874
Q0045,COX1,65,0.469102656
Q0045,COX1,70,0.630906313
Q0045,COX1,75,-0.064268654
Q0050,AI1,40,-0.783822361
Q0050,AI1,45,-0.635302276
Q0050,AI1,50,-0.622401186
Q0050,AI1,55,-0.221632188
Q0050,AI1,60,-0.064788213
Q0050,AI1,65,0.760434029
Q0050,AI1,70,0.76584911
Q0050,AI1,75,-0.12386087
Q0055,AI2,40,-0.368646982
Q0055,AI2,45,-0.59480641
Q0055,AI2,50,-0.669657033
Q0055,AI2,55,-0.107616809
Q0055,AI2,60,-0.243508602
Q0055,AI2,65,0.598586415
Q0055,AI2,70,0.725258941
Q0055,AI2,75,-0.008008862
Q0060,AI3,40,-0.143204944
Q0060,AI3,45,-0.878426046
Q0060,AI3,50,-0.711895052
Q0060,AI3,55,-0.340720832
Q0060,AI3,60,-0.072940304
Q0060,AI3,65,0.691200144
Q0060,AI3,70,0.690465762
Q0060,AI3,75,-0.042099133
Q0065,AI4,40,-0.37726543
Q0065,AI4,45,-1.024806667
Q0065,AI4,50,-1.295981461
Q0065,AI4,55,-0.138977687
Q0065,AI4,60,-0.325218682
Q0065,AI4,65,0.748952286
Q0065,AI4,70,0.83736692
Q0065,AI4,75,0.211225882
Q0070,AI5_ALPHA,40,-0.439416849
Q0070,AI5_ALPHA,45,-0.304733232
Q0070,AI5_ALPHA,50,-0.613004882
Q0070,AI5_ALPHA,55,-0.4920118
Q0070,AI5_ALPHA,60,0.084594148
Q0070,AI5_ALPHA,65,-0.05482626
Q0070,AI5_ALPHA,70,0.863797188
Q0070,AI5_ALPHA,75,0.316363055
Q0075,AI5_BETA,40,-0.450466575
Q0075,AI5_BETA,45,-0.581594077
Q0075,AI5_BETA,50,-0.515826307
Q0075,AI5_BETA,55,-0.198534623
Q0075,AI5_BETA,60,0.063123166
Q0075,AI5_BETA,65,0.57027443
Q0075,AI5_BETA,70,0.709868737
Q0075,AI5_BETA,75,-0.210971726
Q0080,ATP8,40,-1.313363406
Q0080,ATP8,45,-0.092898433
Q0080,ATP8,50,-1.03246258
Q0080,ATP8,55,0.374227577
Q0080,ATP8,60,-0.636977878
Q0080,ATP8,65,0.835940538
Q0080,ATP8,70,0.543842488
Q0080,ATP8,75,-0.015911403
Q0085,ATP6,40,0.070067548
Q0085,ATP6,45,-0.624069953
Q0085,ATP6,50,-1.050310378
Q0085,ATP6,55,-0.279431514
Q0085,ATP6,60,-0.157789025
Q0085,ATP6,65,0.578274603
Q0085,ATP6,70,0.690207882
Q0085,ATP6,75,-0.012111569
Q0092,NA,40,NA
Q0092,NA,45,1.819964971
Q0092,NA,50,NA
Q0092,NA,55,2.160040413
Q0092,NA,60,NA
Q0092,NA,65,NA
Q0092,NA,70,NA
Q0092,NA,75,NA
Q0105,COB,40,-0.028975525
Q0105,COB,45,-0.718645008
Q0105,COB,50,-0.752901059
Q0105,COB,55,-0.31954105
Q0105,COB,60,-0.151154319
Q0105,COB,65,0.835417595
Q0105,COB,70,0.464424825
Q0105,COB,75,-0.069736598
Q0110,BI2,40,-0.496091263
Q0110,BI2,45,-0.814719711
Q0110,BI2,50,-1.390721344
Q0110,BI2,55,0.282316923
Q0110,BI2,60,0.026268947
Q0110,BI2,65,0.995414765
Q0110,BI2,70,0.35936076
Q0110,BI2,75,-0.26873082
Q0115,BI3,40,-0.958161722
Q0115,BI3,45,-0.769214284
Q0115,BI3,50,-0.697591356
Q0115,BI3,55,0.001899533
Q0115,BI3,60,-0.29183167
Q0115,BI3,65,0.664065047
Q0115,BI3,70,0.492739856
Q0115,BI3,75,0.557887858
Q0120,BI4,40,-0.220555997
Q0120,BI4,45,-0.983010802
Q0120,BI4,50,-0.888131804
Q0120,BI4,55,-0.086911668
Q0120,BI4,60,-0.329943856
Q0120,BI4,65,0.733101477
Q0120,BI4,70,0.699548917
Q0120,BI4,75,0.100601085
Q0130,OLI1,40,-0.469497758
Q0130,OLI1,45,-0.373276234
Q0130,OLI1,50,-0.71729296
Q0130,OLI1,55,0.178970141
Q0130,OLI1,60,-0.207244103
Q0130,OLI1,65,0.59587886
Q0130,OLI1,70,0.299670319
Q0130,OLI1,75,0.21038536
Q0140,VAR1,40,-1.008227204
Q0140,VAR1,45,-0.916886892
Q0140,VAR1,50,-0.830986819
Q0140,VAR1,55,0.644278037
Q0140,VAR1,60,-0.734233586
Q0140,VAR1,65,0.576735297
Q0140,VAR1,70,0.281279413
Q0140,VAR1,75,0.623128202
Q0142,NA,40,1.796192314
Q0142,NA,45,-0.492758459
Q0142,NA,50,-0.726744332
Q0142,NA,55,-1.192179684
Q0142,NA,60,-1.07162076
Q0142,NA,65,-1.253004877
Q0142,NA,70,-0.149792374
Q0142,NA,75,-0.032586047
Q0143,NA,40,1.111317023
Q0143,NA,45,0.007694392
Q0143,NA,50,NA
Q0143,NA,55,0.34387647
Q0143,NA,60,NA
Q0143,NA,65,0.260460462
Q0143,NA,70,0.383842878
Q0143,NA,75,0.08731156
Q0144,NA,40,NA
Q0144,NA,45,NA
Q0144,NA,50,-0.010888316
Q0144,NA,55,NA
Q0144,NA,60,0.230119783
Q0144,NA,65,2.266645659
Q0144,NA,70,0.032180406
Q0144,NA,75,NA
Q0160,SCEI,40,0.224515593
Q0160,SCEI,45,0.07946526
Q0160,SCEI,50,-0.683297737
Q0160,SCEI,55,0.27598116
Q0160,SCEI,60,-0.197673131
Q0160,SCEI,65,0.300691491
Q0160,SCEI,70,0.118111188
Q0160,SCEI,75,-0.410374731
Q0182,NA,40,-0.715858515
Q0182,NA,45,-0.075487319
Q0182,NA,50,-0.207711611
Q0182,NA,55,-0.179016178
Q0182,NA,60,-0.393014714
Q0182,NA,65,0.676676986
Q0182,NA,70,-1.078428594
Q0182,NA,75,0.894826551
Q0250,COX2,40,-0.313045339
Q0250,COX2,45,-0.647797047
Q0250,COX2,50,-0.821647095
Q0250,COX2,55,-0.316108794
Q0250,COX2,60,-0.050106568
Q0250,COX2,65,0.640503
Q0250,COX2,70,0.920099598
Q0250,COX2,75,-0.375585595
Q0255,NA,40,-0.048515748
Q0255,NA,45,-1.16121588
Q0255,NA,50,-1.173288713
Q0255,NA,55,-0.299922151
Q0255,NA,60,-0.395681134
Q0255,NA,65,0.671674134
Q0255,NA,70,0.740857699
Q0255,NA,75,0.385164158
