!
!Date: 04/23/2019
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
ECM1	YAL059W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
UTP20	YBL004W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
MAK5	YBR142W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPB5	YBR154C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS6B	YBR181C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS9B	YBR189W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
ENP1	YBR247C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
REI1	YBR267W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP7	YCL031C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SPB1	YCL054W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
KRR1	YCL059C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS14A	YCR031C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
PWP2	YCR057C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RSA4	YCR072C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP1	YDL014W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DBP10	YDL031W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
TSR1	YDL060W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR012948	computational	InterPro	2019-04-20		DDB, et al. (2001)
TSR1	YDL060W	ribosome biogenesis	GO:0042254		biological process	IEA with IPR039761	computational	InterPro	2019-04-20		DDB, et al. (2001)
TSR1	YDL060W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SYO1	YDL063C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP14	YDL148C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
SAS10	YDL153C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
